id,name,slug,tagline,shortenedUrl,commentsCount,createdAt,featuredAt,updatedAt,pricingType,topic_id,topic_name,topic_slug,redirectToProduct_id,redirectToProduct_slug,disabledWhenScheduled,votesCount,productState,thumbnailImageUuid
487899,Thunderbit,thunderbit,Personalized web AI copilot,/r/p/487899,327,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T14:12:36-07:00,free_options,34,Chrome Extensions,chrome-extensions,,,True,1369,default,88e998bd-77e3-4bca-ba71-e8dfdad0c66f.png
479468,ContentRadar,contentradar,Transform your best writing and podcasts into LI and X posts,/r/p/479468,361,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T08:11:22-07:00,free_options,164,Marketing,marketing,,,True,1003,default,b0150128-e849-48b8-92a3-e00b3e916372.png
488612,Zight AI,zight-ai,Press record and let Zight AI improve your workflow,/r/p/488612,123,2024-09-12T01:28:55-07:00,2024-09-12T01:28:55-07:00,2024-09-22T08:09:17-07:00,free_options,46,Productivity,productivity,,,True,613,default,d5b3a893-2012-46b5-891d-b3d1bc868687.gif
488607,Youform,youform,A free Typeform alternative,/r/p/488607,213,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T13:39:50-07:00,free,164,Marketing,marketing,,,True,677,default,9aea165a-509c-42e0-9214-b3c11dc1c7d9.png
488715,Zigma by NextUI (YC S24),zigma-by-nextui-yc-s24,Connect your design files to production code in minutes,/r/p/488715,179,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T08:09:18-07:00,free_options,44,Design Tools,design-tools,,,True,502,default,6a9f9185-c42d-46d8-a0b4-dea6372d74bb.jpeg
487253,Scrap.io Maps Connect,scrap-io-maps-connect,Get company email & social media profiles from Google maps,/r/p/487253,195,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T12:42:23-07:00,free_options,71,Sales,sales,,,True,284,default,9e135a32-785a-437f-85cb-8e2c94f5d435.png
487955,Embedded Recording SDK by Velt,embedded-recording-sdk-by-velt,Add AI powered Loom-style recording to your product!,/r/p/487955,133,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T12:01:34-07:00,free_options,237,SaaS,saas,,,True,274,default,56de231d-8a8e-434d-9478-c0acfe42ea8f.png
486923,Sparky,sparky-2,Guided journaling and reflection,/r/p/486923,139,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T13:39:51-07:00,free,96,Notes,notes,,,True,256,default,2bffb019-198f-4e2d-919f-3c04f9f0c0f6.png
488031,Airbounce for Mac,airbounce-for-mac,One magic button for easier calls,/r/p/488031,118,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T13:39:52-07:00,free_options,46,Productivity,productivity,,,True,257,default,3f6e61a4-7cc0-4dae-af81-fad7e252518d.png
488707,Exportify,exportify-2,Export your Spotify playlists,/r/p/488707,69,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T13:41:17-07:00,free,57,Music,music,,,True,237,default,2fad72a1-d4d2-4cc5-bac7-abbaec6950d8.png
488512,Fujiyama,fujiyama,Practice natural Japanese conversation in real-time with AI,/r/p/488512,84,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T13:41:18-07:00,free,209,Languages,languages,,,True,205,default,6025e3ac-bc51-4693-8bcc-c27103b5876c.png
488617,SpeedNote AI,speednote-ai,Convert your typo-riddled mess into clear notes,/r/p/488617,99,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T14:21:22-07:00,free_options,46,Productivity,productivity,,,True,190,default,676bfbf6-080b-4579-813e-c010341eb04e.png
488521,Emojify,emojify-bff19e65-becd-468b-adc2-c04ceb4fe618,Streamline emojis in Slack,/r/p/488521,77,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T14:21:23-07:00,free,22,Slack,slack,,,True,153,default,8375afb2-1904-4089-bafb-bcbf24067aff.png
487256,Ouro,ouro,Collaborative monetization platform for technical creators,/r/p/487256,88,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T12:01:37-07:00,free,46,Productivity,productivity,,,True,157,default,b94a6253-eb71-47fe-88d2-b7d07467523c.svg
488223,Pantry AId,pantry-aid,"Organize, track, and save with AI-powered pantry management",/r/p/488223,74,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T11:11:22-07:00,free_options,46,Productivity,productivity,,,True,147,default,bc8b7258-19c0-4eda-8568-f3f9ed131f3d.png
488533,Foundation,foundation-1cd06cfe-657f-4cdb-a9e0-014111982a0f,Generate Figma variables based on Tailwind utility classes,/r/p/488533,49,2024-09-12T00:01:00-07:00,2024-09-12T00:01:00-07:00,2024-09-22T14:21:23-07:00,free,44,Design Tools,design-tools,,,True,142,default,05689782-ed4b-413a-9c52-eaa73d39e104.png
